ver:"3.0" id:@396a2669-cb8d-491e-81a1-53360d297f4a hisStart:2022-06-05T18:54:11-00:00 Amsterdam hisEnd:2022-06-08T18:54:11-00:00 Amsterdam
ts,val
2022-06-06T08:03:55-00:00 Amsterdam,2414
2022-06-06T08:13:55-00:00 Amsterdam,2471
2022-06-06T08:23:55-00:00 Amsterdam,2546
2022-06-06T08:28:55-00:00 Amsterdam,2577
2022-06-06T08:33:55-00:00 Amsterdam,2489
2022-06-06T08:38:55-00:00 Amsterdam,2392
2022-06-06T08:43:55-00:00 Amsterdam,2329
2022-06-06T08:48:55-00:00 Amsterdam,2340
2022-06-06T08:53:55-00:00 Amsterdam,2345
2022-06-06T08:58:55-00:00 Amsterdam,2378
2022-06-06T09:03:55-00:00 Amsterdam,2422
2022-06-06T09:08:55-00:00 Amsterdam,2462
2022-06-06T09:13:55-00:00 Amsterdam,2470
2022-06-06T09:18:55-00:00 Amsterdam,2494
2022-06-06T09:23:55-00:00 Amsterdam,2559
2022-06-06T09:28:55-00:00 Amsterdam,2568
2022-06-06T09:33:55-00:00 Amsterdam,2601
2022-06-06T09:38:55-00:00 Amsterdam,2630
2022-06-06T09:43:55-00:00 Amsterdam,2627
2022-06-06T09:48:55-00:00 Amsterdam,2664
2022-06-06T09:53:55-00:00 Amsterdam,2706
2022-06-06T09:58:55-00:00 Amsterdam,2723
2022-06-06T10:03:55-00:00 Amsterdam,2719
2022-06-06T10:08:55-00:00 Amsterdam,2763
2022-06-06T10:13:55-00:00 Amsterdam,2784
2022-06-06T10:18:55-00:00 Amsterdam,2807
2022-06-06T10:23:55-00:00 Amsterdam,2779
2022-06-06T10:28:55-00:00 Amsterdam,2849
2022-06-06T10:33:55-00:00 Amsterdam,2245
2022-06-06T10:38:55-00:00 Amsterdam,1511
2022-06-06T10:43:55-00:00 Amsterdam,1302
2022-06-06T10:53:55-00:00 Amsterdam,946
2022-06-06T10:58:55-00:00 Amsterdam,888
2022-06-06T11:03:55-00:00 Amsterdam,839
2022-06-06T11:13:55-00:00 Amsterdam,745
2022-06-06T11:23:55-00:00 Amsterdam,697
2022-06-06T11:28:55-00:00 Amsterdam,657
2022-06-06T11:38:55-00:00 Amsterdam,608
2022-06-06T11:43:55-00:00 Amsterdam,558
2022-06-06T11:48:55-00:00 Amsterdam,551
2022-06-06T11:53:55-00:00 Amsterdam,528
2022-06-06T11:58:55-00:00 Amsterdam,514
2022-06-06T12:03:55-00:00 Amsterdam,495
2022-06-06T12:08:55-00:00 Amsterdam,485
2022-06-06T12:13:54-00:00 Amsterdam,454
2022-06-06T12:18:54-00:00 Amsterdam,471
2022-06-06T12:23:54-00:00 Amsterdam,451
2022-06-06T12:28:54-00:00 Amsterdam,451
2022-06-06T12:33:54-00:00 Amsterdam,443
2022-06-06T12:38:55-00:00 Amsterdam,439
2022-06-06T12:43:54-00:00 Amsterdam,439
2022-06-06T12:48:54-00:00 Amsterdam,424
2022-06-06T12:53:54-00:00 Amsterdam,433
2022-06-06T12:58:54-00:00 Amsterdam,417
2022-06-06T13:03:54-00:00 Amsterdam,408
2022-06-06T13:13:54-00:00 Amsterdam,393
2022-06-06T13:18:54-00:00 Amsterdam,403
2022-06-06T13:23:54-00:00 Amsterdam,399
2022-06-06T13:28:54-00:00 Amsterdam,391
2022-06-06T13:33:54-00:00 Amsterdam,398
2022-06-06T13:43:54-00:00 Amsterdam,394
2022-06-06T13:48:54-00:00 Amsterdam,404
2022-06-06T13:53:54-00:00 Amsterdam,404
2022-06-06T13:58:54-00:00 Amsterdam,401
2022-06-06T14:03:54-00:00 Amsterdam,410
2022-06-06T14:08:54-00:00 Amsterdam,401
2022-06-06T14:13:54-00:00 Amsterdam,397
2022-06-06T14:18:54-00:00 Amsterdam,405
2022-06-06T14:23:54-00:00 Amsterdam,402
2022-06-06T14:28:54-00:00 Amsterdam,402
2022-06-06T14:33:54-00:00 Amsterdam,403
2022-06-06T14:38:54-00:00 Amsterdam,410
2022-06-06T14:43:54-00:00 Amsterdam,402
2022-06-06T14:48:54-00:00 Amsterdam,413
2022-06-06T14:53:54-00:00 Amsterdam,405
2022-06-06T14:58:54-00:00 Amsterdam,404
2022-06-06T15:03:54-00:00 Amsterdam,407
2022-06-06T15:13:54-00:00 Amsterdam,401
2022-06-06T15:18:54-00:00 Amsterdam,441
2022-06-06T15:28:54-00:00 Amsterdam,546
2022-06-06T15:33:54-00:00 Amsterdam,526
2022-06-06T15:38:54-00:00 Amsterdam,508
2022-06-06T15:43:54-00:00 Amsterdam,532
2022-06-06T15:48:54-00:00 Amsterdam,526
2022-06-06T15:53:54-00:00 Amsterdam,510
2022-06-06T16:03:54-00:00 Amsterdam,476
2022-06-06T16:08:54-00:00 Amsterdam,462
2022-06-06T16:13:54-00:00 Amsterdam,471
2022-06-06T16:18:54-00:00 Amsterdam,461
2022-06-06T16:23:54-00:00 Amsterdam,471
2022-06-06T16:28:54-00:00 Amsterdam,469
2022-06-06T16:33:54-00:00 Amsterdam,474
2022-06-06T16:38:54-00:00 Amsterdam,538
2022-06-06T16:43:54-00:00 Amsterdam,544
