ver:"3.0"
id,dis,point,airInsights,siteRef,equipRef,tz,kind,his,unit,type,sensorId,tenantId,i_streaming_enabled,default
@bef88a06-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD6-Illuminance",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FD6:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@befafb24-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD5-BatteryVoltage",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FD5:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@befd01da-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD5-Motion",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FD5:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@befef7d8-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD5-Illuminance",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FD5:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bf01132e-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD9-BatteryVoltage",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FD9:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bf031c64-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD9-Motion",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FD9:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bf05335a-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD9-Illuminance",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FD9:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bf07ddf8-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD8-BatteryVoltage",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"V","batteryVoltage","urn:dev:DEVEUI:A81758FFFE053FD8:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bf0a510a-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD8-Motion",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"count","motion","urn:dev:DEVEUI:A81758FFFE053FD8:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
@bf0ca5f4-94c1-11ec-8346-9afde65bc921,"A81758FFFE053FD8-Illuminance",M,M,@3ac763da-c4b5-4964-895b-4a8d4baaf7fe "3ac763da-c4b5-4964-895b-4a8d4baaf7fe",@25c5d47f-8919-484a-bc35-77b854f76ae6 "25c5d47f-8919-484a-bc35-77b854f76ae6","Amsterdam","Number",M,"lx","illuminance","urn:dev:DEVEUI:A81758FFFE053FD8:","8ab5dc81-157c-4762-0d55-08d9f6bbffb2",F,M
