ver:"3.0" id:@6a3fa16b-b1ab-4b7b-a903-50b4130c75d1 hisStart:2022-06-05T18:54:12-00:00 Amsterdam hisEnd:2022-06-08T18:54:12-00:00 Amsterdam
ts,val
2022-06-06T14:18:54-00:00 Amsterdam,59
2022-06-06T14:23:54-00:00 Amsterdam,59
2022-06-06T14:28:54-00:00 Amsterdam,59
2022-06-06T14:33:54-00:00 Amsterdam,59
2022-06-06T14:38:54-00:00 Amsterdam,59
2022-06-06T14:43:54-00:00 Amsterdam,59
2022-06-06T14:48:54-00:00 Amsterdam,59
2022-06-06T14:53:54-00:00 Amsterdam,59
2022-06-06T14:58:54-00:00 Amsterdam,59
2022-06-06T15:03:54-00:00 Amsterdam,59
2022-06-06T15:13:54-00:00 Amsterdam,59
2022-06-06T15:18:54-00:00 Amsterdam,59
2022-06-06T15:28:54-00:00 Amsterdam,60
2022-06-06T15:33:54-00:00 Amsterdam,60
2022-06-06T15:38:54-00:00 Amsterdam,60
2022-06-06T15:43:54-00:00 Amsterdam,60
2022-06-06T15:48:54-00:00 Amsterdam,60
2022-06-06T15:53:54-00:00 Amsterdam,60
2022-06-06T16:03:54-00:00 Amsterdam,59
2022-06-06T16:08:54-00:00 Amsterdam,59
2022-06-06T16:13:54-00:00 Amsterdam,59
2022-06-06T16:18:54-00:00 Amsterdam,59
2022-06-06T16:23:54-00:00 Amsterdam,59
2022-06-06T16:28:54-00:00 Amsterdam,59
2022-06-06T16:33:54-00:00 Amsterdam,59
2022-06-06T16:38:54-00:00 Amsterdam,59
2022-06-06T16:43:54-00:00 Amsterdam,59
2022-06-06T16:48:54-00:00 Amsterdam,59
2022-06-06T16:53:54-00:00 Amsterdam,59
2022-06-06T16:58:54-00:00 Amsterdam,59
2022-06-06T17:03:54-00:00 Amsterdam,59
2022-06-06T17:08:54-00:00 Amsterdam,59
2022-06-06T17:13:54-00:00 Amsterdam,59
2022-06-06T17:18:54-00:00 Amsterdam,59
2022-06-06T17:28:54-00:00 Amsterdam,59
2022-06-06T17:33:53-00:00 Amsterdam,59
2022-06-06T17:38:53-00:00 Amsterdam,59
2022-06-06T17:43:53-00:00 Amsterdam,59
2022-06-06T17:48:53-00:00 Amsterdam,59
2022-06-06T17:53:53-00:00 Amsterdam,59
2022-06-06T17:58:54-00:00 Amsterdam,58
2022-06-06T18:03:53-00:00 Amsterdam,58
2022-06-06T18:08:53-00:00 Amsterdam,58
2022-06-06T18:13:53-00:00 Amsterdam,58
2022-06-06T18:18:53-00:00 Amsterdam,58
2022-06-06T18:23:53-00:00 Amsterdam,58
2022-06-06T18:28:53-00:00 Amsterdam,58
2022-06-06T18:33:53-00:00 Amsterdam,58
2022-06-06T18:38:53-00:00 Amsterdam,58
2022-06-06T18:43:53-00:00 Amsterdam,58
2022-06-06T18:48:53-00:00 Amsterdam,58
2022-06-06T18:53:53-00:00 Amsterdam,58
2022-06-06T18:58:53-00:00 Amsterdam,58
2022-06-06T19:03:53-00:00 Amsterdam,58
2022-06-06T19:08:53-00:00 Amsterdam,58
2022-06-06T19:13:53-00:00 Amsterdam,58
2022-06-06T19:18:53-00:00 Amsterdam,58
2022-06-06T19:23:53-00:00 Amsterdam,58
2022-06-06T19:28:53-00:00 Amsterdam,58
2022-06-06T19:33:53-00:00 Amsterdam,58
2022-06-06T19:38:53-00:00 Amsterdam,58
2022-06-06T19:43:53-00:00 Amsterdam,58
2022-06-06T19:48:53-00:00 Amsterdam,57
2022-06-06T19:53:53-00:00 Amsterdam,57
2022-06-06T20:03:53-00:00 Amsterdam,57
2022-06-06T20:08:53-00:00 Amsterdam,57
2022-06-06T20:18:53-00:00 Amsterdam,57
2022-06-06T20:28:53-00:00 Amsterdam,57
2022-06-06T20:33:53-00:00 Amsterdam,57
